queue_rank,video_id,title,channel_title,published_at,year,creator_type,current_transcript_status,previous_failure_status,priority_reason,recommended_batch
167,XzWdrCdrPAU,MASSIVE SHOCK COMING!,ZipTrader,2023-07-09T22:40:26Z,2023,unknown,missing,,older_year:2023,batch_7
168,TstNwZuZnFM,GOING *ALL IN* THIS!,ZipTrader,2023-07-05T22:50:53Z,2023,unknown,missing,,older_year:2023,batch_7
169,-2Rn4JeHKHs,Ray Dalio Explains How the U.S. Economic Crisis is Unfolding.,New Money,2023-07-02T14:00:00Z,2023,unknown,missing,,older_year:2023,batch_7
170,uI3UFUkfv0A,CHINA PREPARES FOR FAILURE!,ZipTrader,2023-06-28T23:39:49Z,2023,unknown,missing,,older_year:2023,batch_7
171,zg1sLvA45Fo,This is Why You're Feeling Broke in 2023 (You're Not Alone!),New Money,2023-06-23T15:20:03Z,2023,unknown,missing,,older_year:2023,batch_7
172,_vyRpYPMxTo,The U.S. Faces a Major Debt Problem,New Money,2023-05-31T15:00:26Z,2023,unknown,missing,,older_year:2023,batch_7
173,tnGZDuhBJXg,Warren Buffett's Warning for the Banking Crisis and 2023 Recession,New Money,2023-05-12T15:51:51Z,2023,unknown,missing,,older_year:2023,batch_7
174,VklMNsFidTU,Who Owns OpenAI/ChatGPT? 🤔😅,HyperChange,2023-05-10T23:20:21Z,2023,unknown,missing,,older_year:2023,batch_7
175,bak0TKepo9A,Tesla Q1 23 Earnings Looking Soft,HyperChange,2023-04-19T21:07:27Z,2023,unknown,missing,,older_year:2023,batch_7
176,5Kv7y_LD5p8,US Inflation Is Exploding Again (Please Panic),Sasha Yanshin,2023-09-18T16:32:37Z,2023,unknown,missing,,older_year:2023,batch_8
177,QNlGdw3l5ys,The UK Economy Is In Big Trouble,Sasha Yanshin,2023-09-14T15:15:14Z,2023,unknown,missing,,older_year:2023,batch_8
178,B38uZOZpmFQ,How Much Money YOU HAVE TO SAVE (By Age),Sasha Yanshin,2023-09-12T16:20:24Z,2023,unknown,missing,,older_year:2023,batch_8
179,ymiRVVxzx68,The UK Economy Is In Deep Sh*t,Sasha Yanshin,2023-09-08T17:19:33Z,2023,unknown,missing,,older_year:2023,batch_8
180,gLznyuGjgzc,UBS Just Stole $28 Billion,Sasha Yanshin,2023-09-01T17:53:57Z,2023,unknown,missing,,older_year:2023,batch_8
181,HNlvZrsKsbU,Nvidia's Path to Becoming the World's Biggest Company (NVDA),Ticker Symbol: YOU,2023-08-20T15:17:10Z,2023,unknown,missing,,older_year:2023,batch_8
182,dvRsZ4-wUGw,NVIDIA Changed Generative AI Forever (SIGGRAPH 2023 Supercut),Ticker Symbol: YOU,2023-08-09T15:07:00Z,2023,unknown,missing,,older_year:2023,batch_8
183,5pAs4cBL2u8,The US Was Just Downgraded,Joseph Carlson,2023-08-02T18:41:52Z,2023,unknown,missing,,older_year:2023,batch_8
184,K9Eguq3hSBs,NVIDIA'S NEW AI Chip Just Changed Everything (Supercut),Ticker Symbol: YOU,2023-07-19T15:04:42Z,2023,unknown,missing,,older_year:2023,batch_8
185,LQe8_dqdyyg,"Earnings Will Be “Terrible”, Here’s My Plan",Joseph Carlson,2023-07-18T18:52:15Z,2023,unknown,missing,,older_year:2023,batch_8
186,Qlmpar5XGK8,Inflation Is Done - What I'm Doing Now,Joseph Carlson,2023-07-12T20:00:56Z,2023,unknown,missing,,older_year:2023,batch_8
187,G3TK-mj7ZvU,The Recession Will Happen Within 12 Months,Joseph Carlson,2023-07-07T18:13:56Z,2023,unknown,missing,,older_year:2023,batch_8
188,JIAzDDpraUQ,Apple Just Hit 3 trillion: It Will Go To 4 Trillion Next Year,Joseph Carlson,2023-06-30T18:35:35Z,2023,unknown,missing,,older_year:2023,batch_8
189,lPZk4ZvPiY4,NVIDIA'S HUGE AI Breakthroughs Just Changed Everything!,Ticker Symbol: YOU,2023-06-25T15:07:00Z,2023,unknown,missing,,older_year:2023,batch_8
190,dU3xW5GcJLo,The AI War Rages On! Every AMD AI Announcement (Supercut),Ticker Symbol: YOU,2023-06-15T17:07:16Z,2023,unknown,missing,,older_year:2023,batch_8
191,92Ah0Paw-Nc,Warren Buffett: MAJOR Updates from the Berkshire Hathaway Shareholders Meeting 2023,New Money,2023-05-09T15:20:29Z,2023,unknown,missing,,older_year:2023,batch_8
192,MVQlfIoG178,"Egregious CEO Salaries, Explained.",New Money,2023-05-03T15:59:13Z,2023,unknown,missing,,older_year:2023,batch_8
193,228h8BnCnSk,Peter Lynch’s Warning for the 2023 Recession,New Money,2023-04-28T16:00:01Z,2023,unknown,missing,,older_year:2023,batch_8
194,Ck8h833qtcY,Warren Buffett's Advice for the 2023 Economic Recession,New Money,2023-04-19T16:00:11Z,2023,unknown,missing,,older_year:2023,batch_8
195,so0HAE-Cg9w,Jamie Dimon’s Warning of an Economic Hurricane,New Money,2023-04-14T16:00:42Z,2023,unknown,missing,,older_year:2023,batch_8
196,u5DRRGOh610,Tesla Q4 2022 Earnings Analysis 🥳,HyperChange,2023-01-25T22:35:10Z,2023,unknown,missing,,older_year:2023,batch_8
197,Q6pu9Ixqqxo,Is Wall Street REALLY Buying Up All the Homes?,The Plain Bagel,2023-12-08T17:06:52Z,2023,unknown,missing,,older_year:2023,batch_8
198,Y3vBd14c5C4,Investment Analyst Explains: Dumb Money,The Plain Bagel,2023-11-10T17:00:32Z,2023,unknown,missing,,older_year:2023,batch_8
199,reyjVhxg9gw,How market makers move markets so you LOSE,Chicken Genius Singapore,2023-09-14T13:00:51Z,2023,unknown,missing,,older_year:2023,batch_8
200,2YSdluG7CLs,Investment Analyst Explains: The Big Short,The Plain Bagel,2023-08-18T16:00:07Z,2023,unknown,missing,,older_year:2023,batch_8
201,YUetf9-3pzo,US Will Keep Increasing Interest Rates,Sasha Yanshin,2023-08-26T03:46:37Z,2023,unknown,missing,,older_year:2023,batch_9
202,cneqVMXahmM,UK House Prices Are Collapsing,Sasha Yanshin,2023-08-22T18:59:39Z,2023,unknown,missing,,older_year:2023,batch_9
203,Fx2b_bbIUHU,The UK Mortgage Collapse Just Got Worse,Sasha Yanshin,2023-08-17T19:15:17Z,2023,unknown,missing,,older_year:2023,batch_9
204,dOSwXSebY48,The UK Economy Collapse Just Started,Sasha Yanshin,2023-08-14T17:14:00Z,2023,unknown,missing,,older_year:2023,batch_9
205,sFjzwlFsAd0,The US Economy Is About To Go Kaboom,Sasha Yanshin,2023-08-11T14:41:31Z,2023,unknown,missing,,older_year:2023,batch_9
206,_eL1o-pB01c,We're Now In An Everything Bubble,Joseph Carlson,2023-06-27T20:09:10Z,2023,unknown,missing,,older_year:2023,batch_9
207,84Cu6_rar-8,Big Tech Is Not Cheap Anymore | Ep. 326,Joseph Carlson,2023-06-16T18:04:49Z,2023,unknown,missing,,older_year:2023,batch_9
208,0EIwhvqCX1c,NVIDIA'S HUGE AI Chip Breakthroughs Change Everything (Supercut),Ticker Symbol: YOU,2023-06-11T15:07:00Z,2023,unknown,missing,,older_year:2023,batch_9
209,LIlCYc0x6R0,Apple Just Changed The Game (Vision Pro AR Headset),Joseph Carlson,2023-06-05T23:15:35Z,2023,unknown,missing,,older_year:2023,batch_9
210,L6rJA0z2Kag,NVIDIA'S HUGE AI Breakthroughs Just Changed Everything (Supercut),Ticker Symbol: YOU,2023-06-01T15:07:00Z,2023,unknown,missing,,older_year:2023,batch_9
211,dwrelX76C2s,This AI Killed ChatGPT - You Just Don't Know It Yet,Ticker Symbol: YOU,2023-05-25T15:16:11Z,2023,unknown,missing,,older_year:2023,batch_9
212,h8p6iQ0f9pk,I've Made A Huge Mistake | Joseph Carlson Ep. 322,Joseph Carlson,2023-05-24T22:14:35Z,2023,unknown,missing,,older_year:2023,batch_9
213,wGovEZyqJ00,The Great AI War: Every Microsoft Build AI Announcement (Supercut),Ticker Symbol: YOU,2023-05-23T23:26:07Z,2023,unknown,missing,,older_year:2023,batch_9
214,Y9i3OIMitRQ,The AI War Has Begun! Every Google I/O AI Announcement (Supercut),Ticker Symbol: YOU,2023-05-13T15:07:00Z,2023,unknown,missing,,older_year:2023,batch_9
215,qPMMW2el3dY,Buffett: This Is Way Better Than Any Of Our Companies | Joseph Carlson Ep. 319,Joseph Carlson,2023-05-08T19:58:42Z,2023,unknown,missing,,older_year:2023,batch_9
216,AFJAUCmGC0g,Michael Burry’s New Warning for the 2023 Recession,New Money,2023-04-10T16:00:10Z,2023,unknown,missing,,older_year:2023,batch_9
217,IwK_T0sufzE,How To Use The 2023 Recession To Build Wealth,New Money,2023-04-04T16:00:10Z,2023,unknown,missing,,older_year:2023,batch_9
218,y5U4xKPhfaQ,The Painful Task of Resetting the U.S. Economy,New Money,2023-03-29T15:03:03Z,2023,unknown,missing,,older_year:2023,batch_9
219,l8FkV-hAuFg,Ray Dalio's Warning for the Economic Crisis and U.S. Recession,New Money,2023-03-22T14:47:53Z,2023,unknown,missing,,older_year:2023,batch_9
220,P-tL2O66gSs,The Fed's BIG Response to the U.S. Bank Collapses (Silicon Valley Bank Bailout),New Money,2023-03-14T15:00:27Z,2023,unknown,missing,,older_year:2023,batch_9
221,wXrvHFqwcBA,What's Going on With Tupperware's Stock?,The Plain Bagel,2023-08-04T16:11:20Z,2023,unknown,missing,,older_year:2023,batch_9
222,4Q2HxVpJ9nw,Using ChatGPT to Trade Stocks - Let's Talk,The Plain Bagel,2023-07-07T15:59:58Z,2023,unknown,missing,,older_year:2023,batch_9
223,kXYvRR7gV2E,How I Research Stocks - Step-by-Step Fundamental Analysis,The Plain Bagel,2023-06-23T16:07:12Z,2023,unknown,missing,,older_year:2023,batch_9
224,GCLcPLkEy2k,Investment Analyst Reacts to Investing TikToks (Part 5),The Plain Bagel,2023-06-09T16:00:10Z,2023,unknown,missing,,older_year:2023,batch_9
225,ieiugsjJweo,"Stock Market Crash Soon 🤩 | $100,000 ++ profit",Chicken Genius Singapore,2023-05-14T13:00:34Z,2023,unknown,missing,,older_year:2023,batch_9
226,wcv80hwXR8c,The US Deflation Spiral - URGENT WARNING,Sasha Yanshin,2023-07-27T11:32:28Z,2023,unknown,missing,,older_year:2023,batch_10
227,s1Gz_ODeAzg,The UK Inflation Spiral Just Started,Sasha Yanshin,2023-07-19T11:15:05Z,2023,unknown,missing,,older_year:2023,batch_10
228,pU9nsC_odbo,The US Economy Is Apparently F*cked,Sasha Yanshin,2023-07-06T17:33:41Z,2023,unknown,missing,,older_year:2023,batch_10
229,QZe02V5hvh8,The UK Has Run Out Of Money,Sasha Yanshin,2023-07-01T12:24:50Z,2023,unknown,missing,,older_year:2023,batch_10
230,W2Yv0pmq1Ow,The UK Mortgage Apocalypse Just Started,Sasha Yanshin,2023-06-27T19:10:13Z,2023,unknown,missing,,older_year:2023,batch_10
231,1OZsmeunfcc,AI Just Killed YouTube - You Just Don't Know It Yet,Ticker Symbol: YOU,2023-05-11T15:07:00Z,2023,unknown,missing,,older_year:2023,batch_10
232,DLArUgwpGQ8,"I'm Concerned About Apple's Earnings, Here's Why | Joseph Carlson Ep. 317",Joseph Carlson,2023-05-01T18:47:21Z,2023,unknown,missing,,older_year:2023,batch_10
233,P254RGBZQIw,Nvidia & Unreal's HUGE AI Breakthroughs (Bigger Than ChatGPT),Ticker Symbol: YOU,2023-04-20T15:07:00Z,2023,unknown,missing,,older_year:2023,batch_10
234,LDR4M6l0bwo,ChatGPT Prompts Itself - Should We Fear AutoGPT?,Ticker Symbol: YOU,2023-04-14T15:06:02Z,2023,unknown,missing,,older_year:2023,batch_10
235,baqgIakE0zw,The Upcoming Real Estate Crash | Joseph Carlson Ep. 313,Joseph Carlson,2023-04-10T21:17:48Z,2023,unknown,missing,,older_year:2023,batch_10
236,cJROlT_ccFM,Nvidia's HUGE AI Breakthrough (Bigger Than ChatGPT),Ticker Symbol: YOU,2023-04-07T15:07:00Z,2023,unknown,missing,,older_year:2023,batch_10
237,0RzDwyq7lsQ,STOP GPT-5 NOW: Dangers of ChatGPT (Letter to OpenAI & Nvidia),Ticker Symbol: YOU,2023-04-02T15:03:13Z,2023,unknown,missing,,older_year:2023,batch_10
238,YyFX5IgOz54,I Just Lost My Job (AI Changes Everything),Joseph Carlson,2023-03-27T21:27:02Z,2023,unknown,missing,,older_year:2023,batch_10
239,4i7Nb1qHL7U,"Silicon Valley Bank Fallout Spreads, What Now",Joseph Carlson,2023-03-13T18:55:23Z,2023,unknown,missing,,older_year:2023,batch_10
240,nBeLyVD6bxs,Microsoft Just Won The Search Wars,Joseph Carlson,2023-02-08T20:55:40Z,2023,unknown,missing,,older_year:2023,batch_10
241,f5j525KpdGc,Michael Burry's Huge Inflation Warning for 2023,New Money,2023-01-20T15:45:03Z,2023,unknown,missing,,older_year:2023,batch_10
242,0EumYORswPo,Investment Analyst Explains: Boiler Room,The Plain Bagel,2023-04-28T16:00:00Z,2023,unknown,missing,,older_year:2023,batch_10
243,YzWgYZnG704,market crash soon,Chicken Genius Singapore,2023-04-28T13:00:20Z,2023,unknown,missing,,older_year:2023,batch_10
244,qVwfYszXHvw,Tips for Becoming an Investment Analyst,The Plain Bagel,2023-03-24T16:00:38Z,2023,unknown,missing,,older_year:2023,batch_10
245,uz6VBMDgMuc,I DARE you to BUY this rally 😡,Chicken Genius Singapore,2023-02-04T14:00:35Z,2023,unknown,missing,,older_year:2023,batch_10
246,K_wrIO6ZNxg,🤔 when to buy stocks again?,Chicken Genius Singapore,2023-01-12T14:00:07Z,2023,unknown,missing,,older_year:2023,batch_10
247,hE-k_SUKGCs,2023 Finance Rewind - AI and Bank Collapses,The Plain Bagel,2023-12-22T17:31:07Z,2023,unknown,missing,,older_year:2023,batch_10
248,Ei8__34FEcc,What Rising Treasury Yields Mean for the Economy,The Plain Bagel,2023-10-13T16:00:10Z,2023,unknown,missing,,older_year:2023,batch_10
249,8Y0SY6OoKV8,The Canadian Housing Crisis Explained,The Plain Bagel,2023-09-29T17:32:17Z,2023,unknown,missing,,older_year:2023,batch_10
250,qS3KT0XlM98,"Bought $pltr $tsla, BUT here is the problem",Chicken Genius Singapore,2023-08-30T14:00:46Z,2023,unknown,missing,,older_year:2023,batch_10
251,ppgjyFPRQYk,The UK Economy Is F*cked,Sasha Yanshin,2023-06-22T16:14:54Z,2023,unknown,missing,,older_year:2023,batch_11
252,clpU0aLCIBY,You Will Be Richer Than You Think (Even If It Doesn't Feel Like It),Sasha Yanshin,2023-06-16T17:57:44Z,2023,unknown,missing,,older_year:2023,batch_11
253,Gn7la3Nus6Q,The Fed Announces Two More Rate Hikes - URGENT WARNING,Sasha Yanshin,2023-06-14T21:16:11Z,2023,unknown,missing,,older_year:2023,batch_11
254,0TfrDz0Dblc,I Got In Big Tax Trouble,Sasha Yanshin,2023-06-12T16:36:45Z,2023,unknown,missing,,older_year:2023,batch_11
255,SmHBATS8Vlc,Binance Is In Deep Sh*t,Sasha Yanshin,2023-06-06T18:04:30Z,2023,unknown,missing,,older_year:2023,batch_11
256,k2hWEnO3z8U,Nvidia & OpenAI Just Changed Everything (HUGE AI News),Ticker Symbol: YOU,2023-03-23T15:04:34Z,2023,unknown,missing,,older_year:2023,batch_11
257,DzJoMdUh9rk,The Secret That Microsoft Will Not Say,Joseph Carlson,2023-01-26T21:54:04Z,2023,unknown,missing,,older_year:2023,batch_11
258,kGsmPxGwcx0,A Major Change Has Happened,Joseph Carlson,2023-01-19T20:39:48Z,2023,unknown,missing,,older_year:2023,batch_11
259,mHVbwz6nLBE,"Terry Smith Is ANGRY, Here’s Why | Joseph Carlson Ep. 300",Joseph Carlson,2023-01-13T21:58:36Z,2023,unknown,missing,,older_year:2023,batch_11
260,ydpnrNvMQ6U,I Was Wrong,Joseph Carlson,2023-01-05T21:31:00Z,2023,unknown,missing,,older_year:2023,batch_11
261,l1TmgZtve2k,Addressing the Blackrock/Vanguard Situation,The Plain Bagel,2023-09-15T16:00:29Z,2023,unknown,missing,,older_year:2023,batch_11
262,c-n6RN8a2Zo,Evergrande Files Chapter 15 Bankruptcy Protection - The State of Chinese Real Estate,The Plain Bagel,2023-08-25T16:00:27Z,2023,unknown,missing,,older_year:2023,batch_11
263,OjyPy_4eVdw,"No, Blackrock and Vanguard don’t secretly control everything...",The Plain Bagel,2023-08-17T20:13:01Z,2023,unknown,missing,,older_year:2023,batch_11
264,s1Dw3_u9FAs,"FedNow, and the Conspiracy Theories Around It, Explained",The Plain Bagel,2023-07-20T16:41:55Z,2023,unknown,missing,,older_year:2023,batch_11
265,QCbbTdPUuAU,The SEC Goes After Crypto Exchanges - Why People are Angry,The Plain Bagel,2023-06-07T16:49:27Z,2023,unknown,missing,,older_year:2023,batch_11
266,BCP5TMysMfs,learn ONLY from the best,Chicken Genius Singapore,2023-04-29T13:00:16Z,2023,unknown,missing,,older_year:2023,batch_11
267,MKwJNSfi0NU,Free money 🤩 No risk,Chicken Genius Singapore,2023-02-03T14:00:30Z,2023,unknown,missing,,older_year:2023,batch_11
268,ALjWkfJjGUA,"The 2023 Recession Explained (Investing During Inflation, High Interest Rates and Market Crashes)",New Money,2022-12-29T15:00:04Z,2022,unknown,missing,,older_year:2022,batch_11
269,Q-0x8AbUam8,Peter Lynch: How to Invest in 2023,New Money,2022-12-22T14:30:08Z,2022,unknown,missing,,older_year:2022,batch_11
270,s6RtyxdMXEo,The Truth Behind Stock Buybacks,Joseph Carlson,2022-12-19T22:43:23Z,2022,unknown,missing,,older_year:2022,batch_11
271,c8F9OTEbIK4,Michael Burry's 'Big Short' Against the Stock Market,New Money,2022-12-10T14:00:25Z,2022,unknown,missing,,older_year:2022,batch_11
272,ZdFtF7rFTQk,Cathie Wood on the Stock Market Crash (Deflationary Crisis),Ticker Symbol: YOU,2022-11-30T17:04:11Z,2022,unknown,missing,,older_year:2022,batch_11
273,NtdvkfwjuMc,Intel Stock (INTC) Will Crash - Here's Why,Ticker Symbol: YOU,2022-11-18T16:38:47Z,2022,unknown,missing,,older_year:2022,batch_11
274,gqQmbMqFmQQ,Michael Burry on the Stock Market Crash (It Will Be Bad),Ticker Symbol: YOU,2022-10-09T15:58:01Z,2022,unknown,missing,,older_year:2022,batch_11
275,2S3aqIHjeQc,Is Credit Suisse Triggering another 2008 Stock Market Crash?,New Money,2022-10-07T14:00:04Z,2022,unknown,missing,,older_year:2022,batch_11
276,_WjFNJMKgYk,All Aboard the AI Hype Train,Sasha Yanshin,2023-05-31T17:32:44Z,2023,unknown,missing,,older_year:2023,batch_12
277,EClK6iJcnIM,UK Economy In Big Trouble - Inflation Is UGLY,Sasha Yanshin,2023-05-24T15:56:22Z,2023,unknown,missing,,older_year:2023,batch_12
278,VTzO-mHCGUo,What The F*ck Is The Fed Doing?,Sasha Yanshin,2023-05-18T18:19:39Z,2023,unknown,missing,,older_year:2023,batch_12
279,v7NSXf0PP9k,US Economy Is About To Collapse (Too Many Jobs),Sasha Yanshin,2023-05-05T18:07:04Z,2023,unknown,missing,,older_year:2023,batch_12
280,tBfAH16veQc,3 More US Banks About To Collapse,Sasha Yanshin,2023-05-04T17:54:55Z,2023,unknown,missing,,older_year:2023,batch_12
281,_kjbWuzm9-g,How Credit Unions Compare to Banks,The Plain Bagel,2023-05-26T17:14:10Z,2023,unknown,missing,,older_year:2023,batch_12
282,sj5fuYHxsUE,Hindenburg Research Goes After Carl Icahn,The Plain Bagel,2023-05-05T17:00:08Z,2023,unknown,missing,,older_year:2023,batch_12
283,7IQjUYzS-kI,Another US Bank Has Failed - Now What?,The Plain Bagel,2023-05-01T21:55:05Z,2023,unknown,missing,,older_year:2023,batch_12
284,EO4k0fDC3eQ,Let's Talk De-Dollarization - Why the Dollar Isn't Going Anywhere Anytime Soon,The Plain Bagel,2023-04-21T16:20:53Z,2023,unknown,missing,,older_year:2023,batch_12
285,ZPlrkr1qaE0,How Big Banks Stack Up to Silicon Valley Bank - Are Big Unrealized Losses a Risk?,The Plain Bagel,2023-04-07T16:00:23Z,2023,unknown,missing,,older_year:2023,batch_12
286,gx6JykbV_no,Why The Fed Keeps Killing The Market Rally,Joseph Carlson,2022-12-14T22:21:23Z,2022,unknown,missing,,older_year:2022,batch_12
287,_OlfH77OWAU,Why These Two Dividend Stocks Keep Beating The Market | Joseph Carlson Ep. 182,Joseph Carlson,2022-10-25T19:59:38Z,2022,unknown,missing,,older_year:2022,batch_12
288,R8IXFkVGUYU,The 2023 Market Crash (Do This Now),Joseph Carlson,2022-10-21T22:15:54Z,2022,unknown,missing,,older_year:2022,batch_12
289,gCmm62u6NFM,How To Invest In A Downturn | Joseph Carlson Ep. 280,Joseph Carlson,2022-10-19T22:00:51Z,2022,unknown,missing,,older_year:2022,batch_12
290,C1rrz0eoZUk,"Warning: Value Investing Is ""Dead"" | Joseph Carlson Ep. 279",Joseph Carlson,2022-10-13T19:51:27Z,2022,unknown,missing,,older_year:2022,batch_12
291,GP3KohmMeTA,Michael Burry vs Cathie Wood on the Next Stock Market Crash,Ticker Symbol: YOU,2022-10-06T15:07:00Z,2022,unknown,missing,,older_year:2022,batch_12
292,IBCMF2sehuo,Charlie Munger: How to Invest During a Recession,New Money,2022-09-29T13:56:28Z,2022,unknown,missing,,older_year:2022,batch_12
293,WH-wyXmZKZI,IT STARTED: The Stock Market Crash (What You NEED to Know),Ticker Symbol: YOU,2022-09-27T15:07:00Z,2022,unknown,missing,,older_year:2022,batch_12
294,YJDeXEvYpBc,Nvidia: The Most Powerful AI Company On Earth? (NVDA Stock),Ticker Symbol: YOU,2022-09-20T17:46:58Z,2022,unknown,missing,,older_year:2022,batch_12
295,lHtxvsNnR6Y,Why Stocks Will Crash (and What to Buy When They Do),Ticker Symbol: YOU,2022-09-14T19:02:07Z,2022,unknown,missing,,older_year:2022,batch_12
296,F0NqCqfpsvU,Can Nvidia's New AI Predict the Apocalypse? (NVDA Stock),Ticker Symbol: YOU,2022-09-12T18:56:37Z,2022,unknown,missing,,older_year:2022,batch_12
297,JBwc76o1SiU,Warren Buffett Keeps Buying These 3 Stocks...,New Money,2022-08-24T14:08:05Z,2022,unknown,missing,,older_year:2022,batch_12
298,J4dN3oT1PVg,Jamie Dimon: The Economic Hurricane and Stock Market Crash of 2022 (Quantitative Tightening Begins),New Money,2022-07-03T13:30:09Z,2022,unknown,missing,,older_year:2022,batch_12
299,Cpq7T-v52n8,Michael Burry's Warning for the Stock Market Crash,New Money,2022-06-15T15:00:06Z,2022,unknown,missing,,older_year:2022,batch_12
300,ued-dOWvz88,The 2022 Stock Market Crash: How It Happened And What To Do Next (w/  @The Plain Bagel ),New Money,2022-05-30T14:22:57Z,2022,unknown,missing,,older_year:2022,batch_12
301,mxQEVmwPbRU,The Fed Hikes Rates to 5.25% - URGENT WARNING,Sasha Yanshin,2023-05-03T18:01:12Z,2023,unknown,missing,,older_year:2023,batch_13
302,yviIpy5ppTg,First Republic Bank Collapses (JPMorgan Gets A Dirty Deal),Sasha Yanshin,2023-05-01T11:13:45Z,2023,unknown,missing,,older_year:2023,batch_13
303,HUcB07xwZI0,Jerome Powell Really F*cked Up (It’s Bad!),Sasha Yanshin,2023-04-27T17:23:00Z,2023,unknown,missing,,older_year:2023,batch_13
304,j3xUKU_BkoM,UK Economy Is In Deep Sh*t,Sasha Yanshin,2023-04-19T17:29:16Z,2023,unknown,missing,,older_year:2023,batch_13
305,N3m2hJGlSJU,The Fed Says The Economy Is F*cked,Sasha Yanshin,2023-04-13T15:33:43Z,2023,unknown,missing,,older_year:2023,batch_13
306,V2F3vcL_914,A Day in the Life of a 29-Year-Old Billionaire Trader,The Plain Bagel,2023-04-01T12:01:55Z,2023,unknown,missing,,older_year:2023,batch_13
307,saGnpgIlP0o,The End of Credit Suisse,The Plain Bagel,2023-03-21T00:12:31Z,2023,unknown,missing,,older_year:2023,batch_13
308,QFvTXm4_vaQ,Important Update to Silicon Valley Bank Failure,The Plain Bagel,2023-03-13T01:02:21Z,2023,unknown,missing,,older_year:2023,batch_13
309,bAlF39Y_Lvw,The US Debt Situation Explained,The Plain Bagel,2023-03-03T17:08:24Z,2023,unknown,missing,,older_year:2023,batch_13
310,kGVKsUMo-Q8,Finance Movie Review: Wall Street,The Plain Bagel,2023-02-17T17:00:39Z,2023,unknown,missing,,older_year:2023,batch_13
311,bGFOISftzLk,Investors Are Giving Up (The Bears Have Finally Won) | Joseph Carlson Ep. 277,Joseph Carlson,2022-10-06T16:47:47Z,2022,unknown,missing,,older_year:2022,batch_13
312,UlvCS9w-08I,Apple Stock Is Going To $200 Per Share (Here’s Why) | Joseph Carlson Ep. 270,Joseph Carlson,2022-09-12T19:25:26Z,2022,unknown,missing,,older_year:2022,batch_13
313,hHWt1wj8X10,This Is When The Sell-Off Will End  | Joseph Carlson Ep. 269,Joseph Carlson,2022-09-06T20:17:42Z,2022,unknown,missing,,older_year:2022,batch_13
314,R3UrC0XYL8g,5 Ways Dividend Investing Makes You Money | Joseph Carlson Ep. 268,Joseph Carlson,2022-09-02T21:10:41Z,2022,unknown,missing,,older_year:2022,batch_13
315,ipV-FsHJ7hk,Will ARK Invest Survive the Fed's Next Interest Rate Hike?,Ticker Symbol: YOU,2022-09-01T14:47:50Z,2022,unknown,missing,,older_year:2022,batch_13
316,I-4tzdVdyFM,Hedge Funds Are Shorting My Favorite Stock | Joseph Carlson Ep. 267,Joseph Carlson,2022-08-29T22:11:34Z,2022,unknown,missing,,older_year:2022,batch_13
317,qC-KPF62hTc,Warning: ARK Invest's ETFs Could Crash (Due to Inflation),Ticker Symbol: YOU,2022-08-28T21:04:52Z,2022,unknown,missing,,older_year:2022,batch_13
318,EkvHZDiWBwE,Warren Buffett Just Sunk $40B into the Stock Market,New Money,2022-05-06T13:00:05Z,2022,unknown,missing,,older_year:2022,batch_13
319,sr8DOkigZLk,So Elon wants to buy Twitter … 🤔,HyperChange,2022-04-14T21:02:38Z,2022,unknown,missing,,older_year:2022,batch_13
320,DrZibtIIJ50,Charlie Munger SELLS 50% of Alibaba Stock!,New Money,2022-04-13T16:00:10Z,2022,unknown,missing,,older_year:2022,batch_13
321,-y5XjMwj1N0,"Tesla, It's Not About The Market Cap",HyperChange,2022-04-12T05:33:53Z,2022,unknown,missing,,older_year:2022,batch_13
322,XU2URT547Z0,Why Warren Buffett is Keeping $144B out of the Stock Market,New Money,2022-03-13T15:00:30Z,2022,unknown,missing,,older_year:2022,batch_13
323,3gy9E7wY3AU,Top 5 Stocks the Smart Money is Buying for 2022,New Money,2022-03-03T16:30:00Z,2022,unknown,missing,,older_year:2022,batch_13
324,8yswQuWk4MI,How to Invest for Beginners (2022),New Money,2022-02-27T14:00:06Z,2022,unknown,missing,,older_year:2022,batch_13
325,tFBDZSaEX_U,Chocolate Habanero Pepper Review 🌶️🔥,HyperChange,2022-12-12T08:19:44Z,2022,unknown,missing,,older_year:2022,batch_13
326,ytY4mT0qQ0k,Secret Message Revealed For The First Time EVER,Sasha Yanshin,2023-04-03T18:10:58Z,2023,unknown,missing,,older_year:2023,batch_14
327,YcYkiDDQoXA,The Ticking Time Bomb Of Commercial Real Estate,Sasha Yanshin,2023-03-28T14:55:34Z,2023,unknown,missing,,older_year:2023,batch_14
328,d4bxq_v6JnI,The Fed Just F*cked The US Economy,Sasha Yanshin,2023-03-24T16:10:33Z,2023,unknown,missing,,older_year:2023,batch_14
329,Hvj-7YW1nJA,The Bank Apocalypse Has Apparently Just Started,Sasha Yanshin,2023-03-17T18:49:16Z,2023,unknown,missing,,older_year:2023,batch_14
330,TXxJz3kYIXM,Your Money Is Probably Safe?,Sasha Yanshin,2023-03-13T17:43:48Z,2023,unknown,missing,,older_year:2023,batch_14
331,KyeFTgjfb30,The Adani Group Scandal Explained,The Plain Bagel,2023-02-01T17:21:00Z,2023,unknown,missing,,older_year:2023,batch_14
